lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0023382649291306735
100,50,75,32,adam,0.002547360700555146
100,100,50,32,adam,0.0028868119698017836
100,100,75,32,adam,0.0021765327313914896
100,150,50,32,adam,0.002566390438005328
100,150,75,32,adam,0.0028236862970516087
150,50,50,32,adam,0.002214679168537259
150,50,75,32,adam,0.002193463547155261
150,100,50,32,adam,0.002385381702333689
150,100,75,32,adam,0.0025283992174081503
150,150,50,32,adam,0.002211257943417877
150,150,75,32,adam,0.0022514118580147626
100,50,50,64,adam,0.0030762319453060626
100,50,75,64,adam,0.005517315585166216
100,100,50,64,adam,0.0034676512936130167
100,100,75,64,adam,0.002674478106200695
100,150,50,64,adam,0.0038249568548053502
100,150,75,64,adam,0.003215735871344805
150,50,50,64,adam,0.0031162884552031755
150,50,75,64,adam,0.0038179668597877027
150,100,50,64,adam,0.0024830514448694885
150,100,75,64,adam,0.003148622019216418
150,150,50,64,adam,0.003180207498371601
150,150,75,64,adam,0.00467034955509007
