lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003195322980172932
100,50,75,32,adam,0.003019793680869043
100,100,50,32,adam,0.003943423926830292
100,100,75,32,adam,0.0029493401292711497
100,150,50,32,adam,0.0033740492654033005
100,150,75,32,adam,0.003393255756236613
150,50,50,32,adam,0.004594931600149721
150,50,75,32,adam,0.0028801787178963424
150,100,50,32,adam,0.0031180931255221367
150,100,75,32,adam,0.004191176267340779
150,150,50,32,adam,0.003777259821072221
150,150,75,32,adam,0.0032721562311053276
100,50,50,64,adam,0.006070147175341845
100,50,75,64,adam,0.0063520405441522595
100,100,50,64,adam,0.002899696002714336
100,100,75,64,adam,0.0039081133902072905
100,150,50,64,adam,0.0037822385085746644
100,150,75,64,adam,0.003000249108299613
150,50,50,64,adam,0.006827834015712142
150,50,75,64,adam,0.004568836279213428
150,100,50,64,adam,0.0039415106177330015
150,100,75,64,adam,0.005563952354714274
150,150,50,64,adam,0.0038007731083780525
150,150,75,64,adam,0.0029998203041031956
