lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005159247247502208
100,50,75,32,adam,0.0048019844107329845
100,100,50,32,adam,0.005255158152431249
100,100,75,32,adam,0.005809407448396087
100,150,50,32,adam,0.005719301989302039
100,150,75,32,adam,0.0055602564942091705
150,50,50,32,adam,0.004905716655775905
150,50,75,32,adam,0.007272700872272253
150,100,50,32,adam,0.004449349781498313
150,100,75,32,adam,0.0064011504873633385
150,150,50,32,adam,0.005862001702189446
150,150,75,32,adam,0.005457055615261197
100,50,50,64,adam,0.005381142441183329
100,50,75,64,adam,0.00827439958229661
100,100,50,64,adam,0.005676540266722441
100,100,75,64,adam,0.005925580393522978
100,150,50,64,adam,0.00660292124375701
100,150,75,64,adam,0.00695094745606184
150,50,50,64,adam,0.00588911515660584
150,50,75,64,adam,0.006446600472554564
150,100,50,64,adam,0.004609475191682577
150,100,75,64,adam,0.006464231060817838
150,150,50,64,adam,0.0067246728111058475
150,150,75,64,adam,0.004513937793672085
