lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0025919037871062756
100,50,75,32,adam,0.003413932304829359
100,100,50,32,adam,0.003410789743065834
100,100,75,32,adam,0.0018211953807622193
100,150,50,32,adam,0.0029700142098590732
100,150,75,32,adam,0.004124116245657205
150,50,50,32,adam,0.003008669661357999
150,50,75,32,adam,0.0033346951706334947
150,100,50,32,adam,0.0032805781811475754
150,100,75,32,adam,0.0019855144200846553
150,150,50,32,adam,0.0025421915343031287
150,150,75,32,adam,0.0031833105254918336
100,50,50,64,adam,0.0034059199038892984
100,50,75,64,adam,0.003114618267863989
100,100,50,64,adam,0.004050208814442157
100,100,75,64,adam,0.0038968931417912244
100,150,50,64,adam,0.0034314474556595086
100,150,75,64,adam,0.003304810891859233
150,50,50,64,adam,0.004216788406483829
150,50,75,64,adam,0.0035304234828799964
150,100,50,64,adam,0.004614116484299302
150,100,75,64,adam,0.00331223108805716
150,150,50,64,adam,0.004993796977214515
150,150,75,64,adam,0.0033221559831872584
