lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004614793648943305
100,50,75,32,adam,0.005206364928744734
100,100,50,32,adam,0.002956564258784056
100,100,75,32,adam,0.0038320058258250354
100,150,50,32,adam,0.0029117455007508395
100,150,75,32,adam,0.004491373430937529
150,50,50,32,adam,0.003362251352518797
150,50,75,32,adam,0.003079035272821784
150,100,50,32,adam,0.0028805932961404324
150,100,75,32,adam,0.0035182908875867726
150,150,50,32,adam,0.006141245272010565
150,150,75,32,adam,0.0032376368530094624
100,50,50,64,adam,0.006426380574703216
100,50,75,64,adam,0.007067929767072201
100,100,50,64,adam,0.008306633145548404
100,100,75,64,adam,0.005390302324667573
100,150,50,64,adam,0.006582248117774725
100,150,75,64,adam,0.0073618369176983835
150,50,50,64,adam,0.005698913964442909
150,50,75,64,adam,0.00527811711654067
150,100,50,64,adam,0.0063180703902617095
150,100,75,64,adam,0.005096558015793562
150,150,50,64,adam,0.005742719862610102
150,150,75,64,adam,0.0044721955433487896
