lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0021244239760562778
100,50,75,32,adam,0.003555738786235452
100,100,50,32,adam,0.0024303973652422426
100,100,75,32,adam,0.0023130823858082293
100,150,50,32,adam,0.002985856356099248
100,150,75,32,adam,0.0017695940332487226
150,50,50,32,adam,0.0021453938679769635
150,50,75,32,adam,0.002428437175694853
150,100,50,32,adam,0.0020988765638321636
150,100,75,32,adam,0.0031219359021633863
150,150,50,32,adam,0.00163546793628484
150,150,75,32,adam,0.0028174211038276553
100,50,50,64,adam,0.00430936198681593
100,50,75,64,adam,0.003719792584888637
100,100,50,64,adam,0.00451566546689719
100,100,75,64,adam,0.0036530863028019665
100,150,50,64,adam,0.0039570607710629705
100,150,75,64,adam,0.002523237688001245
150,50,50,64,adam,0.0037897842237725856
150,50,75,64,adam,0.003184055886231363
150,100,50,64,adam,0.0022758176317438485
150,100,75,64,adam,0.004997125105001032
150,150,50,64,adam,0.005400839447975159
150,150,75,64,adam,0.003103273897431791
