lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.002989185438491404
100,50,75,32,adam,0.0030955686932429673
100,100,50,32,adam,0.0029983083019033074
100,100,75,32,adam,0.0038144495338201523
100,150,50,32,adam,0.0038174978690221906
100,150,75,32,adam,0.0023772441083565353
150,50,50,32,adam,0.003225210588425398
150,50,75,32,adam,0.003404310066252947
150,100,50,32,adam,0.003621415980160236
150,100,75,32,adam,0.003469581110402942
150,150,50,32,adam,0.0037576922681182624
150,150,75,32,adam,0.0029802798759192227
100,50,50,64,adam,0.0028514649486169217
100,50,75,64,adam,0.008827614993788303
100,100,50,64,adam,0.002898483956232667
100,100,75,64,adam,0.003784780274145305
100,150,50,64,adam,0.004011424141936004
100,150,75,64,adam,0.005409243609756231
150,50,50,64,adam,0.004104309715330601
150,50,75,64,adam,0.0034659501165151597
150,100,50,64,adam,0.004200491541996598
150,100,75,64,adam,0.004805209953337908
150,150,50,64,adam,0.00404689279384911
150,150,75,64,adam,0.005110409110784531
