lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004262044979259372
100,50,75,32,adam,0.0056417934130877255
100,100,50,32,adam,0.004433194175362587
100,100,75,32,adam,0.004431957774795592
100,150,50,32,adam,0.004009728878736496
100,150,75,32,adam,0.003893259167671204
150,50,50,32,adam,0.004556560353375971
150,50,75,32,adam,0.0057142139878124
150,100,50,32,adam,0.004356677713803947
150,100,75,32,adam,0.005188794201239943
150,150,50,32,adam,0.006334620853886008
150,150,75,32,adam,0.003983209282159806
100,50,50,64,adam,0.008593574352562427
100,50,75,64,adam,0.00773587292060256
100,100,50,64,adam,0.006894321087747813
100,100,75,64,adam,0.006881951354444027
100,150,50,64,adam,0.006477196048945188
100,150,75,64,adam,0.004508414026349783
150,50,50,64,adam,0.005563927325420081
150,50,75,64,adam,0.005689211189746857
150,100,50,64,adam,0.0060713720507919785
150,100,75,64,adam,0.005611604684963823
150,150,50,64,adam,0.004888375522568822
150,150,75,64,adam,0.004972571693360806
