lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00408973814919591
100,50,75,32,adam,0.0029655757709406315
100,100,50,32,adam,0.0035977102583274246
100,100,75,32,adam,0.0025992095470428467
100,150,50,32,adam,0.0029550823150202633
100,150,75,32,adam,0.003058055602014065
150,50,50,32,adam,0.00300092602847144
150,50,75,32,adam,0.004852201393805444
150,100,50,32,adam,0.002810990251600742
150,100,75,32,adam,0.0035351493395864965
150,150,50,32,adam,0.003758979425765574
150,150,75,32,adam,0.004083403246477246
100,50,50,64,adam,0.003198574739508331
100,50,75,64,adam,0.008358231885358692
100,100,50,64,adam,0.003590460680425167
100,100,75,64,adam,0.005244464753195644
100,150,50,64,adam,0.004041796643286943
100,150,75,64,adam,0.005549805937334895
150,50,50,64,adam,0.003268501069396734
150,50,75,64,adam,0.003640664927661419
150,100,50,64,adam,0.007146897003985941
150,100,75,64,adam,0.003780717076733708
150,150,50,64,adam,0.003839582949876785
150,150,75,64,adam,0.004251886997371912
