lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0037054426036775114
100,50,75,32,adam,0.001911076484248042
100,100,50,32,adam,0.002188174845650792
100,100,75,32,adam,0.0016755567630752921
100,150,50,32,adam,0.004423951636999846
100,150,75,32,adam,0.0017588469316251576
150,50,50,32,adam,0.0024734675651416184
150,50,75,32,adam,0.00197691700886935
150,100,50,32,adam,0.001962723210453987
150,100,75,32,adam,0.0017112418776378036
150,150,50,32,adam,0.0016868686070665717
150,150,75,32,adam,0.001689506566617638
100,50,50,64,adam,0.002499462803825736
100,50,75,64,adam,0.0025548027362674473
100,100,50,64,adam,0.0027126768371090295
100,100,75,64,adam,0.003938734950497747
100,150,50,64,adam,0.0035767955239862205
100,150,75,64,adam,0.004444721341133118
150,50,50,64,adam,0.003166388941463083
150,50,75,64,adam,0.004214224172756076
150,100,50,64,adam,0.001691975211724639
150,100,75,64,adam,0.0019280703854747117
150,150,50,64,adam,0.0026353452587500213
150,150,75,64,adam,0.002210923773236573
