lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.011195699172094464
100,50,75,32,adam,0.005911783128976822
100,100,50,32,adam,0.005847401358187199
100,100,75,32,adam,0.008172481879591941
100,150,50,32,adam,0.009386227186769246
100,150,75,32,adam,0.00291974782012403
150,50,50,32,adam,0.0033967707538977267
150,50,75,32,adam,0.0028752129757776855
150,100,50,32,adam,0.005418526893481612
150,100,75,32,adam,0.006940469983965159
150,150,50,32,adam,0.0050848294515162705
150,150,75,32,adam,0.004770070547237992
100,50,50,64,adam,0.011784365260973572
100,50,75,64,adam,0.012176589388400317
100,100,50,64,adam,0.011057743337005377
100,100,75,64,adam,0.009234311943873762
100,150,50,64,adam,0.006378863053396344
100,150,75,64,adam,0.013351630326360464
150,50,50,64,adam,0.005463287141174078
150,50,75,64,adam,0.007846575183793902
150,100,50,64,adam,0.0063474595081061125
150,100,75,64,adam,0.005658214725553989
150,150,50,64,adam,0.008470349479466677
150,150,75,64,adam,0.004991828370839358
