lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.010598106170073151
100,50,75,32,adam,0.009735534712672234
100,100,50,32,adam,0.010888064932078122
100,100,75,32,adam,0.010376710537821054
100,150,50,32,adam,0.011235577845945954
100,150,75,32,adam,0.005857056239619851
150,50,50,32,adam,0.006229537166655063
150,50,75,32,adam,0.006068079732358456
150,100,50,32,adam,0.00494227628223598
150,100,75,32,adam,0.0058634400367736815
150,150,50,32,adam,0.006785912159830332
150,150,75,32,adam,0.0066285752691328526
100,50,50,64,adam,0.014682026021182537
100,50,75,64,adam,0.006516644777730107
100,100,50,64,adam,0.005804042099043727
100,100,75,64,adam,0.016267064958810806
100,150,50,64,adam,0.006578100845217705
100,150,75,64,adam,0.006935815699398518
150,50,50,64,adam,0.005552767822518945
150,50,75,64,adam,0.01626778030768037
150,100,50,64,adam,0.007417887775227427
150,100,75,64,adam,0.015046116709709168
150,150,50,64,adam,0.005254402570426464
150,150,75,64,adam,0.010219626920297742
