lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005246570613235235
100,50,75,32,adam,0.01149176829494536
100,100,50,32,adam,0.006227240012958646
100,100,75,32,adam,0.005384439928457141
100,150,50,32,adam,0.009314659656956792
100,150,75,32,adam,0.004483367642387747
150,50,50,32,adam,0.0035036198096349835
150,50,75,32,adam,0.003606731863692403
150,100,50,32,adam,0.0045100660528987644
150,100,75,32,adam,0.0035781635902822017
150,150,50,32,adam,0.004025901015847921
150,150,75,32,adam,0.0033686166862025857
100,50,50,64,adam,0.008281589578837156
100,50,75,64,adam,0.00674987668171525
100,100,50,64,adam,0.006878720689564943
100,100,75,64,adam,0.004880005773156881
100,150,50,64,adam,0.009004672430455685
100,150,75,64,adam,0.0038669397123157977
150,50,50,64,adam,0.006648917170241475
150,50,75,64,adam,0.011855140281841158
150,100,50,64,adam,0.006273961905390024
150,100,75,64,adam,0.004405373753979802
150,150,50,64,adam,0.006201310781762004
150,150,75,64,adam,0.010946494154632091
