lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.011063454882241785
100,50,75,32,adam,0.008340732520446181
100,100,50,32,adam,0.01189968823455274
100,100,75,32,adam,0.006883460143581033
100,150,50,32,adam,0.0056630323175340894
100,150,75,32,adam,0.00676696531008929
150,50,50,32,adam,0.00826395144686103
150,50,75,32,adam,0.00941556366160512
150,100,50,32,adam,0.008562914747744798
150,100,75,32,adam,0.008692832570523024
150,150,50,32,adam,0.00661110901273787
150,150,75,32,adam,0.008713144529610872
100,50,50,64,adam,0.010011332156136633
100,50,75,64,adam,0.01583680845797062
100,100,50,64,adam,0.011434725765138865
100,100,75,64,adam,0.011387369967997074
100,150,50,64,adam,0.012045227736234666
100,150,75,64,adam,0.010737801645882427
150,50,50,64,adam,0.008932937192730606
150,50,75,64,adam,0.013643704168498517
150,100,50,64,adam,0.013481837208382785
150,100,75,64,adam,0.008884810004383325
150,150,50,64,adam,0.014678941993042826
150,150,75,64,adam,0.015319264121353626
