lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.007584588462486863
100,50,75,32,adam,0.003985247225500643
100,100,50,32,adam,0.005951757496222854
100,100,75,32,adam,0.006679577310569585
100,150,50,32,adam,0.005471253301948309
100,150,75,32,adam,0.002581008046399802
150,50,50,32,adam,0.008139809360727668
150,50,75,32,adam,0.005603841436095536
150,100,50,32,adam,0.005852982611395418
150,100,75,32,adam,0.003773508593440056
150,150,50,32,adam,0.003630392928607762
150,150,75,32,adam,0.005448636505752802
100,50,50,64,adam,0.0067875142442062495
100,50,75,64,adam,0.01925986520946026
100,100,50,64,adam,0.012510829186066986
100,100,75,64,adam,0.010117897251620888
100,150,50,64,adam,0.011699803778901697
100,150,75,64,adam,0.005190622247755528
150,50,50,64,adam,0.007258900906890631
150,50,75,64,adam,0.0032678439863957466
150,100,50,64,adam,0.006810470530763268
150,100,75,64,adam,0.006059018708765507
150,150,50,64,adam,0.005562854441814124
150,150,75,64,adam,0.0073419461026787754
