lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004979845089837909
100,50,75,32,adam,0.004680920648388565
100,100,50,32,adam,0.0028604432591237128
100,100,75,32,adam,0.004696947732008993
100,150,50,32,adam,0.00392308842856437
100,150,75,32,adam,0.002270176261663437
150,50,50,32,adam,0.003628686675801873
150,50,75,32,adam,0.0020405205897986887
150,100,50,32,adam,0.0025252108229324222
150,100,75,32,adam,0.006422745960298926
150,150,50,32,adam,0.00630013681948185
150,150,75,32,adam,0.0030825034249573947
100,50,50,64,adam,0.00529780478682369
100,50,75,64,adam,0.004374058556277305
100,100,50,64,adam,0.009310563234612346
100,100,75,64,adam,0.005652166809886694
100,150,50,64,adam,0.002608283353038132
100,150,75,64,adam,0.0038566016126424076
150,50,50,64,adam,0.002647584688384086
150,50,75,64,adam,0.0041708629578351974
150,100,50,64,adam,0.00518834637477994
150,100,75,64,adam,0.0032824046909809114
150,150,50,64,adam,0.008436380280181765
150,150,75,64,adam,0.002896345918998122
