lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.010813584225252271
100,50,75,32,adam,0.004779497301205993
100,100,50,32,adam,0.0038494092877954245
100,100,75,32,adam,0.006820503436028957
100,150,50,32,adam,0.005891761742532253
100,150,75,32,adam,0.0037861031014472246
150,50,50,32,adam,0.003200039453804493
150,50,75,32,adam,0.0037725513800978662
150,100,50,32,adam,0.006941045867279172
150,100,75,32,adam,0.005055587366223335
150,150,50,32,adam,0.0034615634940564632
150,150,75,32,adam,0.004367774864658713
100,50,50,64,adam,0.009091256745159626
100,50,75,64,adam,0.009319191705435515
100,100,50,64,adam,0.013692470081150532
100,100,75,64,adam,0.0120873658452183
100,150,50,64,adam,0.004187791584990918
100,150,75,64,adam,0.00751701919361949
150,50,50,64,adam,0.013688395218923687
150,50,75,64,adam,0.008364409767091274
150,100,50,64,adam,0.006344080157577992
150,100,75,64,adam,0.00973315630108118
150,150,50,64,adam,0.006601578136906028
150,150,75,64,adam,0.01049162382259965
