lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009520873613655566
100,50,75,32,adam,0.008996526955161243
100,100,50,32,adam,0.004592637903988362
100,100,75,32,adam,0.004460712289437651
100,150,50,32,adam,0.002096583764068782
100,150,75,32,adam,0.006548711459618062
150,50,50,32,adam,0.0018752009607851505
150,50,75,32,adam,0.005076892068609595
150,100,50,32,adam,0.0025050263619050385
150,100,75,32,adam,0.0027596387546509503
150,150,50,32,adam,0.005173286516219377
150,150,75,32,adam,0.004135111160576343
100,50,50,64,adam,0.014120503887534141
100,50,75,64,adam,0.011101092863827943
100,100,50,64,adam,0.009115687757730483
100,100,75,64,adam,0.00660790887195617
100,150,50,64,adam,0.007268210453912616
100,150,75,64,adam,0.00782794684637338
150,50,50,64,adam,0.005351191922090948
150,50,75,64,adam,0.0035855041816830633
150,100,50,64,adam,0.010819212067872286
150,100,75,64,adam,0.005309193255379796
150,150,50,64,adam,0.009328177478164435
150,150,75,64,adam,0.006244888389483094
