lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.016113979555666447
100,50,75,32,adam,0.019335218146443366
100,100,50,32,adam,0.023807730991393328
100,100,75,32,adam,0.01703951321542263
100,150,50,32,adam,0.012831071950495243
100,150,75,32,adam,0.0215186164714396
150,50,50,32,adam,0.019229065999388693
150,50,75,32,adam,0.014285591710358859
150,100,50,32,adam,0.014240069221705199
150,100,75,32,adam,0.013320012111216783
150,150,50,32,adam,0.012696702498942614
150,150,75,32,adam,0.012341136299073695
100,50,50,64,adam,0.02975853132084012
100,50,75,64,adam,0.030912433471530675
100,100,50,64,adam,0.02023579739034176
100,100,75,64,adam,0.02684074956923723
100,150,50,64,adam,0.0315816605463624
100,150,75,64,adam,0.011711362563073636
150,50,50,64,adam,0.019035266246646643
150,50,75,64,adam,0.015479302033782005
150,100,50,64,adam,0.03413743320852518
150,100,75,64,adam,0.013966421503573656
150,150,50,64,adam,0.015349815227091312
150,150,75,64,adam,0.015972297824919223
