lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005525582982227206
100,50,75,32,adam,0.007754541770555079
100,100,50,32,adam,0.007555290590971708
100,100,75,32,adam,0.002338458551093936
100,150,50,32,adam,0.004804484639316797
100,150,75,32,adam,0.0018721483647823334
150,50,50,32,adam,0.0023592230514623224
150,50,75,32,adam,0.0025928519433364274
150,100,50,32,adam,0.0030804766342043878
150,100,75,32,adam,0.003257157257758081
150,150,50,32,adam,0.00301110721193254
150,150,75,32,adam,0.0031133658485487103
100,50,50,64,adam,0.009519816236570477
100,50,75,64,adam,0.013222177093848587
100,100,50,64,adam,0.010204301658086478
100,100,75,64,adam,0.009508909529540688
100,150,50,64,adam,0.011904969275929034
100,150,75,64,adam,0.00785633799387142
150,50,50,64,adam,0.005487589538097382
150,50,75,64,adam,0.006563674216158688
150,100,50,64,adam,0.004074364842381328
150,100,75,64,adam,0.00401353572960943
150,150,50,64,adam,0.004389561479911208
150,150,75,64,adam,0.004698188253678381
