lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006396778114140034
100,50,75,32,adam,0.005129383038729429
100,100,50,32,adam,0.0063139003235846754
100,100,75,32,adam,0.004649283271282912
100,150,50,32,adam,0.008318337192758919
100,150,75,32,adam,0.006477332813665271
150,50,50,32,adam,0.006367680244147777
150,50,75,32,adam,0.004217067174613476
150,100,50,32,adam,0.009840613650158047
150,100,75,32,adam,0.005655448511242866
150,150,50,32,adam,0.006904240837320686
150,150,75,32,adam,0.008337946003302931
100,50,50,64,adam,0.007450310979038477
100,50,75,64,adam,0.010729053150862455
100,100,50,64,adam,0.007348895445466042
100,100,75,64,adam,0.006942464923486114
100,150,50,64,adam,0.009551121247932315
100,150,75,64,adam,0.004635490756481886
150,50,50,64,adam,0.00921002821996808
150,50,75,64,adam,0.011121650971472264
150,100,50,64,adam,0.01144294599071145
150,100,75,64,adam,0.010620393231511116
150,150,50,64,adam,0.010208154004067183
150,150,75,64,adam,0.010047100484371185
