lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005085384752601385
100,50,75,32,adam,0.004529687063768506
100,100,50,32,adam,0.003786325897090137
100,100,75,32,adam,0.008181660482659937
100,150,50,32,adam,0.005140094738453627
100,150,75,32,adam,0.003119433345273137
150,50,50,32,adam,0.003178594051860273
150,50,75,32,adam,0.0035285332007333635
150,100,50,32,adam,0.00451645003631711
150,100,75,32,adam,0.002595785562880337
150,150,50,32,adam,0.003102672751992941
150,150,75,32,adam,0.0033991353586316107
100,50,50,64,adam,0.012332062283530832
100,50,75,64,adam,0.0072534077800810335
100,100,50,64,adam,0.00787202308420092
100,100,75,64,adam,0.010294945910573006
100,150,50,64,adam,0.004520848765969277
100,150,75,64,adam,0.0072050984017550945
150,50,50,64,adam,0.004325638804584741
150,50,75,64,adam,0.003824967215768993
150,100,50,64,adam,0.005167839396744966
150,100,75,64,adam,0.004569405829533935
150,150,50,64,adam,0.007512343768030405
150,150,75,64,adam,0.006347670941613615
