lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.008437444595620036
100,50,75,32,adam,0.008054099208675326
100,100,50,32,adam,0.0033311272971332075
100,100,75,32,adam,0.004133946541696787
100,150,50,32,adam,0.00826627337373793
100,150,75,32,adam,0.005977272870950401
150,50,50,32,adam,0.0038538796128705145
150,50,75,32,adam,0.003012552484869957
150,100,50,32,adam,0.002955760108307004
150,100,75,32,adam,0.007682755822315812
150,150,50,32,adam,0.003150677401572466
150,150,75,32,adam,0.004091085284017026
100,50,50,64,adam,0.015037501230835915
100,50,75,64,adam,0.017202182533219458
100,100,50,64,adam,0.015208370797336102
100,100,75,64,adam,0.003993838606402278
100,150,50,64,adam,0.013195580337196589
100,150,75,64,adam,0.011629949184134602
150,50,50,64,adam,0.014255492808297276
150,50,75,64,adam,0.008060079161077737
150,100,50,64,adam,0.004708499880507588
150,100,75,64,adam,0.003724042000249028
150,150,50,64,adam,0.005108267487958074
150,150,75,64,adam,0.006213186588138342
