lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.01060960632748902
100,50,75,32,adam,0.010852291993796826
100,100,50,32,adam,0.016240496747195722
100,100,75,32,adam,0.008826613426208496
100,150,50,32,adam,0.008831631625071168
100,150,75,32,adam,0.01267777532339096
150,50,50,32,adam,0.011769669502973557
150,50,75,32,adam,0.014306369330734014
150,100,50,32,adam,0.010373367648571729
150,100,75,32,adam,0.01276501165702939
150,150,50,32,adam,0.01151731600984931
150,150,75,32,adam,0.011758425598964095
100,50,50,64,adam,0.021699597034603356
100,50,75,64,adam,0.018280808022245763
100,100,50,64,adam,0.01257991325110197
100,100,75,64,adam,0.023966730944812296
100,150,50,64,adam,0.012334191612899304
100,150,75,64,adam,0.021358816418796778
150,50,50,64,adam,0.015044448431581259
150,50,75,64,adam,0.011296465527266264
150,100,50,64,adam,0.014305838104337453
150,100,75,64,adam,0.014683025795966387
150,150,50,64,adam,0.009313038503751158
150,150,75,64,adam,0.00831156731583178
