lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004612391232512891
100,50,75,32,adam,0.009341393690556287
100,100,50,32,adam,0.0077916658483445644
100,100,75,32,adam,0.0038002156419679523
100,150,50,32,adam,0.0035834079142659904
100,150,75,32,adam,0.005465542851015926
150,50,50,32,adam,0.004035475174896419
150,50,75,32,adam,0.005917632672935724
150,100,50,32,adam,0.002210119925439358
150,100,75,32,adam,0.005259523075073958
150,150,50,32,adam,0.0033658585278317334
150,150,75,32,adam,0.003302208846434951
100,50,50,64,adam,0.016502066981047392
100,50,75,64,adam,0.01609498532488942
100,100,50,64,adam,0.010179822705686093
100,100,75,64,adam,0.009708730084821583
100,150,50,64,adam,0.007892307173460723
100,150,75,64,adam,0.0035560412332415582
150,50,50,64,adam,0.0034081201534718274
150,50,75,64,adam,0.016782627115026115
150,100,50,64,adam,0.004932327382266522
150,100,75,64,adam,0.01013275608420372
150,150,50,64,adam,0.010247359052300453
150,150,75,64,adam,0.005317446449771524
