lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005012449948117137
100,50,75,32,adam,0.005126699060201645
100,100,50,32,adam,0.004546745913103223
100,100,75,32,adam,0.005198330618441105
100,150,50,32,adam,0.009574128594249488
100,150,75,32,adam,0.00564597612246871
150,50,50,32,adam,0.00952012799680233
150,50,75,32,adam,0.01142948167398572
150,100,50,32,adam,0.006656017433851957
150,100,75,32,adam,0.005228855414316058
150,150,50,32,adam,0.004926852136850357
150,150,75,32,adam,0.006716384924948216
100,50,50,64,adam,0.0077710904646664854
100,50,75,64,adam,0.015322068519890309
100,100,50,64,adam,0.006490811100229621
100,100,75,64,adam,0.014084071386605501
100,150,50,64,adam,0.015476101078093052
100,150,75,64,adam,0.010953046707436442
150,50,50,64,adam,0.008349151723086834
150,50,75,64,adam,0.006578473537229001
150,100,50,64,adam,0.007290533697232604
150,100,75,64,adam,0.007759412191808224
150,150,50,64,adam,0.008834823500365019
150,150,75,64,adam,0.006456558685749769
