lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005777864228002727
100,50,75,32,adam,0.009795495588332415
100,100,50,32,adam,0.002592791453935206
100,100,75,32,adam,0.0048811704153195025
100,150,50,32,adam,0.00840689514297992
100,150,75,32,adam,0.006268094386905431
150,50,50,32,adam,0.005581396305933595
150,50,75,32,adam,0.008364686300046742
150,100,50,32,adam,0.003005986020434648
150,100,75,32,adam,0.002879826258867979
150,150,50,32,adam,0.004223429271951318
150,150,75,32,adam,0.0035095833474770187
100,50,50,64,adam,0.009415388293564319
100,50,75,64,adam,0.010584318218752742
100,100,50,64,adam,0.003809136478230357
100,100,75,64,adam,0.010645478661172093
100,150,50,64,adam,0.012092001782730222
100,150,75,64,adam,0.015558725246228278
150,50,50,64,adam,0.003049856470897794
150,50,75,64,adam,0.002147760265506804
150,100,50,64,adam,0.007515943143516779
150,100,75,64,adam,0.007553475967142731
150,150,50,64,adam,0.012253076862543821
150,150,75,64,adam,0.005553343100473285
