lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006079413776751608
100,50,75,32,adam,0.00831420263275504
100,100,50,32,adam,0.006222219648770988
100,100,75,32,adam,0.005523800849914551
100,150,50,32,adam,0.0038515293039381505
100,150,75,32,adam,0.006219518603757024
150,50,50,32,adam,0.00421846229583025
150,50,75,32,adam,0.0026466877898201346
150,100,50,32,adam,0.0047907293774187565
150,100,75,32,adam,0.005147255957126617
150,150,50,32,adam,0.0033469171030446887
150,150,75,32,adam,0.005775231611914932
100,50,50,64,adam,0.013872501626610755
100,50,75,64,adam,0.00955041409470141
100,100,50,64,adam,0.010072008101269602
100,100,75,64,adam,0.00905462447553873
100,150,50,64,adam,0.006637243088334799
100,150,75,64,adam,0.005728078912943602
150,50,50,64,adam,0.008216551528312266
150,50,75,64,adam,0.0076606301125139
150,100,50,64,adam,0.006075130449607969
150,100,75,64,adam,0.00742877833545208
150,150,50,64,adam,0.006987009989097714
150,150,75,64,adam,0.006066343747079372
