lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009238399472087622
100,50,75,32,adam,0.008258137619122863
100,100,50,32,adam,0.006812554120551794
100,100,75,32,adam,0.007498747459612787
100,150,50,32,adam,0.0021276283194310965
100,150,75,32,adam,0.0031301130540668963
150,50,50,32,adam,0.004919006978161633
150,50,75,32,adam,0.008567084791138768
150,100,50,32,adam,0.0035208593821153046
150,100,75,32,adam,0.003996544796973467
150,150,50,32,adam,0.0029958508675917983
150,150,75,32,adam,0.004584913514554501
100,50,50,64,adam,0.01415508771315217
100,50,75,64,adam,0.010365689918398858
100,100,50,64,adam,0.00983840033877641
100,100,75,64,adam,0.00348270459799096
100,150,50,64,adam,0.002154734800569713
100,150,75,64,adam,0.0035890831844881178
150,50,50,64,adam,0.0070293808821588755
150,50,75,64,adam,0.005074200942181051
150,100,50,64,adam,0.01175232048262842
150,100,75,64,adam,0.002795118885114789
150,150,50,64,adam,0.01214750432409346
150,150,75,64,adam,0.003302427800372243
