lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006443334463983774
100,50,75,32,adam,0.010401927260681986
100,100,50,32,adam,0.00645356213208288
100,100,75,32,adam,0.005222378252074123
100,150,50,32,adam,0.007218258129432798
100,150,75,32,adam,0.0109764632768929
150,50,50,32,adam,0.009448630455881356
150,50,75,32,adam,0.005987243680283427
150,100,50,32,adam,0.005018902476876974
150,100,75,32,adam,0.005192331690341234
150,150,50,32,adam,0.004591483250260353
150,150,75,32,adam,0.006262099044397474
100,50,50,64,adam,0.015104599017649888
100,50,75,64,adam,0.016306115686893462
100,100,50,64,adam,0.013472900493070483
100,100,75,64,adam,0.013579449523240328
100,150,50,64,adam,0.011654921644367277
100,150,75,64,adam,0.012394283479079605
150,50,50,64,adam,0.011971682775765657
150,50,75,64,adam,0.011082931095734239
150,100,50,64,adam,0.009450185345485806
150,100,75,64,adam,0.007758887158706785
150,150,50,64,adam,0.010117985866963863
150,150,75,64,adam,0.009060653438791633
