lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.010283787734806538
100,50,75,32,adam,0.012635371554642916
100,100,50,32,adam,0.010971413273364306
100,100,75,32,adam,0.0073034622007980944
100,150,50,32,adam,0.006081660371273756
100,150,75,32,adam,0.010065904818475246
150,50,50,32,adam,0.007591456267982721
150,50,75,32,adam,0.00706068747676909
150,100,50,32,adam,0.009824158996343613
150,100,75,32,adam,0.005719916918314994
150,150,50,32,adam,0.009198840428143739
150,150,75,32,adam,0.005861075269058347
100,50,50,64,adam,0.01375472042709589
100,50,75,64,adam,0.014841148909181357
100,100,50,64,adam,0.009854518156498671
100,100,75,64,adam,0.007764703687280416
100,150,50,64,adam,0.01849780883640051
100,150,75,64,adam,0.01211153797339648
150,50,50,64,adam,0.008575736917555333
150,50,75,64,adam,0.007461325358599424
150,100,50,64,adam,0.010730416141450405
150,100,75,64,adam,0.012852321472018957
150,150,50,64,adam,0.011057803593575954
150,150,75,64,adam,0.00878210598602891
