lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006729925144463777
100,50,75,32,adam,0.008971530012786388
100,100,50,32,adam,0.011167256627231836
100,100,75,32,adam,0.01370800812728703
100,150,50,32,adam,0.0071585911326110365
100,150,75,32,adam,0.006199124176055193
150,50,50,32,adam,0.006925634946674109
150,50,75,32,adam,0.006402073474600911
150,100,50,32,adam,0.007555670244619251
150,100,75,32,adam,0.00862614819779992
150,150,50,32,adam,0.008756219316273928
150,150,75,32,adam,0.008615116123110056
100,50,50,64,adam,0.014811043255031109
100,50,75,64,adam,0.013703763950616121
100,100,50,64,adam,0.012847125763073564
100,100,75,64,adam,0.014181842561811209
100,150,50,64,adam,0.008980255690403283
100,150,75,64,adam,0.014380968315526843
150,50,50,64,adam,0.010533692268654703
150,50,75,64,adam,0.022448778664693237
150,100,50,64,adam,0.012695986963808536
150,100,75,64,adam,0.011418733093887568
150,150,50,64,adam,0.010197727382183075
150,150,75,64,adam,0.008080186136066914
