lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005354832950979471
100,50,75,32,adam,0.00715372278355062
100,100,50,32,adam,0.006772782932966947
100,100,75,32,adam,0.0019644171465188266
100,150,50,32,adam,0.003937162947840989
100,150,75,32,adam,0.0029003467643633485
150,50,50,32,adam,0.0028942418750375508
150,50,75,32,adam,0.0038101858692243694
150,100,50,32,adam,0.0037302715005353092
150,100,75,32,adam,0.004176907916553318
150,150,50,32,adam,0.003945583407767117
150,150,75,32,adam,0.0050936281913891435
100,50,50,64,adam,0.004378530126996338
100,50,75,64,adam,0.0163638717494905
100,100,50,64,adam,0.009176545217633248
100,100,75,64,adam,0.01599347493611276
100,150,50,64,adam,0.005466467794030904
100,150,75,64,adam,0.00885077128186822
150,50,50,64,adam,0.00665188692510128
150,50,75,64,adam,0.015124804340302944
150,100,50,64,adam,0.011826013028621674
150,100,75,64,adam,0.007061664620414377
150,150,50,64,adam,0.007213491108268499
150,150,75,64,adam,0.008569034817628562
