lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009452634770423175
100,50,75,32,adam,0.006734379567205906
100,100,50,32,adam,0.005267315544188023
100,100,75,32,adam,0.005784582626074552
100,150,50,32,adam,0.004107510251924395
100,150,75,32,adam,0.008009297121316195
150,50,50,32,adam,0.008575753774493933
150,50,75,32,adam,0.006691664271056652
150,100,50,32,adam,0.006245556939393282
150,100,75,32,adam,0.004229798773303628
150,150,50,32,adam,0.006307900510728359
150,150,75,32,adam,0.0069106615148484705
100,50,50,64,adam,0.017801288142800333
100,50,75,64,adam,0.014035100769251584
100,100,50,64,adam,0.015299251489341258
100,100,75,64,adam,0.017057968908920883
100,150,50,64,adam,0.004778255335986614
100,150,75,64,adam,0.005925031471997499
150,50,50,64,adam,0.012373007368296385
150,50,75,64,adam,0.010278824903070926
150,100,50,64,adam,0.017191498633474113
150,100,75,64,adam,0.006836353009566665
150,150,50,64,adam,0.00783505393192172
150,150,75,64,adam,0.007702085189521313
