lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0090282560326159
100,50,75,32,adam,0.005970684415660799
100,100,50,32,adam,0.005163030559197068
100,100,75,32,adam,0.009015032043680548
100,150,50,32,adam,0.009624930284917354
100,150,75,32,adam,0.002896329783834517
150,50,50,32,adam,0.004118972271680832
150,50,75,32,adam,0.003958318335935474
150,100,50,32,adam,0.003650825540535152
150,100,75,32,adam,0.005275141028687358
150,150,50,32,adam,0.004342263843864202
150,150,75,32,adam,0.006735262973234057
100,50,50,64,adam,0.013416341179981828
100,50,75,64,adam,0.013223580876365304
100,100,50,64,adam,0.00873374966904521
100,100,75,64,adam,0.013735758792608976
100,150,50,64,adam,0.0101167606189847
100,150,75,64,adam,0.004415146913379431
150,50,50,64,adam,0.012467942479997874
150,50,75,64,adam,0.004450739454478025
150,100,50,64,adam,0.005720420368015766
150,100,75,64,adam,0.005416321428492665
150,150,50,64,adam,0.005264064855873584
150,150,75,64,adam,0.006673179473727942
