lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00816929447464645
100,50,75,32,adam,0.009612544300034642
100,100,50,32,adam,0.0077281482983380554
100,100,75,32,adam,0.012560572195798158
100,150,50,32,adam,0.006416532211005688
100,150,75,32,adam,0.007371107395738363
150,50,50,32,adam,0.010543828969821334
150,50,75,32,adam,0.008305547805503011
150,100,50,32,adam,0.006054414017125964
150,100,75,32,adam,0.006874875398352742
150,150,50,32,adam,0.009212093194946647
150,150,75,32,adam,0.007180421752855182
100,50,50,64,adam,0.01319482121616602
100,50,75,64,adam,0.012964637763798238
100,100,50,64,adam,0.011528282146900892
100,100,75,64,adam,0.0071418957319110635
100,150,50,64,adam,0.0159531912766397
100,150,75,64,adam,0.01492222659289837
150,50,50,64,adam,0.015586978662759066
150,50,75,64,adam,0.0105660452041775
150,100,50,64,adam,0.007077257335186005
150,100,75,64,adam,0.010799158085137605
150,150,50,64,adam,0.009026847290806472
150,150,75,64,adam,0.00974382138811052
