lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006498013343662024
100,50,75,32,adam,0.007706003251951188
100,100,50,32,adam,0.003545545507222414
100,100,75,32,adam,0.008966643875464798
100,150,50,32,adam,0.002754541439935565
100,150,75,32,adam,0.005698881263379007
150,50,50,32,adam,0.00335415112785995
150,50,75,32,adam,0.003131131292320788
150,100,50,32,adam,0.002079778048209846
150,100,75,32,adam,0.0026764546986669303
150,150,50,32,adam,0.0026078099152073266
150,150,75,32,adam,0.0023892230237834156
100,50,50,64,adam,0.008580008230637759
100,50,75,64,adam,0.01463031256571412
100,100,50,64,adam,0.01073341085575521
100,100,75,64,adam,0.009049833426252008
100,150,50,64,adam,0.01272595392074436
100,150,75,64,adam,0.009972650092095137
150,50,50,64,adam,0.005778357549570501
150,50,75,64,adam,0.010179763333871961
150,100,50,64,adam,0.005253545567393303
150,100,75,64,adam,0.004531884985044599
150,150,50,64,adam,0.006470780121162534
150,150,75,64,adam,0.009815910505130887
