lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006829597242176533
100,50,75,32,adam,0.005831843661144376
100,100,50,32,adam,0.0060840313322842125
100,100,75,32,adam,0.004549459926784039
100,150,50,32,adam,0.004404116119258106
100,150,75,32,adam,0.004774783737957478
150,50,50,32,adam,0.005559293553233147
150,50,75,32,adam,0.004902369854971766
150,100,50,32,adam,0.0037710411008447407
150,100,75,32,adam,0.005592518486082554
150,150,50,32,adam,0.004829116119071841
150,150,75,32,adam,0.004372839140705765
100,50,50,64,adam,0.019088522624224426
100,50,75,64,adam,0.01469520442187786
100,100,50,64,adam,0.010256348829716443
100,100,75,64,adam,0.006497470056638121
100,150,50,64,adam,0.006891482649371028
100,150,75,64,adam,0.008907620562240481
150,50,50,64,adam,0.005362318432889879
150,50,75,64,adam,0.005928633734583855
150,100,50,64,adam,0.012507220730185509
150,100,75,64,adam,0.005346728162840009
150,150,50,64,adam,0.005427605146542192
150,150,75,64,adam,0.005676113069057465
