lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.018491877987980843
100,50,75,32,adam,0.022579575050622226
100,100,50,32,adam,0.01244020164012909
100,100,75,32,adam,0.015129487216472625
100,150,50,32,adam,0.010949295200407504
100,150,75,32,adam,0.018080869410187005
150,50,50,32,adam,0.018685157224535943
150,50,75,32,adam,0.014452331978827716
150,100,50,32,adam,0.012175776716321706
150,100,75,32,adam,0.015432755276560784
150,150,50,32,adam,0.012464253790676593
150,150,75,32,adam,0.013684590719640255
100,50,50,64,adam,0.03556846659630537
100,50,75,64,adam,0.02464441638439894
100,100,50,64,adam,0.016244781855493783
100,100,75,64,adam,0.02985789952799678
100,150,50,64,adam,0.014724975544959306
100,150,75,64,adam,0.016853464394807817
150,50,50,64,adam,0.02308646161109209
150,50,75,64,adam,0.017455464880913495
150,100,50,64,adam,0.013661386910825968
150,100,75,64,adam,0.013697645999491215
150,150,50,64,adam,0.01451303055509925
150,150,75,64,adam,0.024549230001866817
