lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006711390404962003
100,50,75,32,adam,0.004170288890600204
100,100,50,32,adam,0.0030860268510878087
100,100,75,32,adam,0.006187952356413007
100,150,50,32,adam,0.007426856737583876
100,150,75,32,adam,0.004083473375067115
150,50,50,32,adam,0.008236309746280313
150,50,75,32,adam,0.003639016626402736
150,100,50,32,adam,0.0047065707389265295
150,100,75,32,adam,0.003133504558354616
150,150,50,32,adam,0.003921556565910578
150,150,75,32,adam,0.003980854758992791
100,50,50,64,adam,0.009861999703571201
100,50,75,64,adam,0.00808205851353705
100,100,50,64,adam,0.011155263986438513
100,100,75,64,adam,0.0073902708478271965
100,150,50,64,adam,0.01149716880172491
100,150,75,64,adam,0.006554923160001636
150,50,50,64,adam,0.0030631746398285032
150,50,75,64,adam,0.004920983361080289
150,100,50,64,adam,0.003920619166456163
150,100,75,64,adam,0.006767371483147144
150,150,50,64,adam,0.008936796989291906
150,150,75,64,adam,0.008151278272271157
