lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00862076380290091
100,50,75,32,adam,0.004453322058543563
100,100,50,32,adam,0.003221155307255685
100,100,75,32,adam,0.0020570036605931817
100,150,50,32,adam,0.0026552221504971387
100,150,75,32,adam,0.0021691075759008526
150,50,50,32,adam,0.00427133166231215
150,50,75,32,adam,0.009242551727220416
150,100,50,32,adam,0.003189499257132411
150,100,75,32,adam,0.003121647844091058
150,150,50,32,adam,0.003503894689492881
150,150,75,32,adam,0.003959781001321971
100,50,50,64,adam,0.007276112493127584
100,50,75,64,adam,0.011739552207291126
100,100,50,64,adam,0.01452489080838859
100,100,75,64,adam,0.0077767044771462675
100,150,50,64,adam,0.012235751887783409
100,150,75,64,adam,0.0047782933805137874
150,50,50,64,adam,0.0026960008195601403
150,50,75,64,adam,0.003441925719380379
150,100,50,64,adam,0.006193961761891842
150,100,75,64,adam,0.004432011139579117
150,150,50,64,adam,0.0063117260579019785
150,150,75,64,adam,0.006450153980404138
