lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.008322909753769637
100,50,75,32,adam,0.004175729304552078
100,100,50,32,adam,0.0019853834528476
100,100,75,32,adam,0.007375132711604238
100,150,50,32,adam,0.005192391609307378
100,150,75,32,adam,0.0019246828276664018
150,50,50,32,adam,0.002459838334470987
150,50,75,32,adam,0.002520780492341146
150,100,50,32,adam,0.0014306890428997577
150,100,75,32,adam,0.0026980613940395413
150,150,50,32,adam,0.0022019922267645597
150,150,75,32,adam,0.003579011606052518
100,50,50,64,adam,0.01148870144970715
100,50,75,64,adam,0.015044736675918102
100,100,50,64,adam,0.015428328420966864
100,100,75,64,adam,0.009954030928201973
100,150,50,64,adam,0.0043808471062220635
100,150,75,64,adam,0.016308411676436662
150,50,50,64,adam,0.0029140488302800806
150,50,75,64,adam,0.010614239051938057
150,100,50,64,adam,0.003579263295978308
150,100,75,64,adam,0.007670388987753541
150,150,50,64,adam,0.004406355111859739
150,150,75,64,adam,0.004516816698014736
