lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006244728062301874
100,50,75,32,adam,0.006786219403147697
100,100,50,32,adam,0.005613994994200766
100,100,75,32,adam,0.00853433320298791
100,150,50,32,adam,0.004469546489417553
100,150,75,32,adam,0.00343303931877017
150,50,50,32,adam,0.006267774570733309
150,50,75,32,adam,0.007557360362261534
150,100,50,32,adam,0.01003764325287193
150,100,75,32,adam,0.005607031565159559
150,150,50,32,adam,0.007020680839195848
150,150,75,32,adam,0.004880019091069698
100,50,50,64,adam,0.01670127660036087
100,50,75,64,adam,0.01135233398526907
100,100,50,64,adam,0.008938448410481215
100,100,75,64,adam,0.01634041031356901
100,150,50,64,adam,0.007168102543801069
100,150,75,64,adam,0.008985679876059294
150,50,50,64,adam,0.012795053608715534
150,50,75,64,adam,0.009637208003550769
150,100,50,64,adam,0.009178702812641859
150,100,75,64,adam,0.005097572808153927
150,150,50,64,adam,0.010088582336902619
150,150,75,64,adam,0.006749873841181397
