lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00534220808185637
100,50,75,32,adam,0.004526259563863278
100,100,50,32,adam,0.005462130857631564
100,100,75,32,adam,0.006701476406306028
100,150,50,32,adam,0.004089038725942374
100,150,75,32,adam,0.004704448627308011
150,50,50,32,adam,0.006607354339212179
150,50,75,32,adam,0.004483154090121388
150,100,50,32,adam,0.006891778763383627
150,100,75,32,adam,0.005432827258482575
150,150,50,32,adam,0.006665007770061493
150,150,75,32,adam,0.00519475475884974
100,50,50,64,adam,0.011498472280800342
100,50,75,64,adam,0.014406987931579351
100,100,50,64,adam,0.007773174764588475
100,100,75,64,adam,0.012837260216474532
100,150,50,64,adam,0.00958984037861228
100,150,75,64,adam,0.0075803331565111876
150,50,50,64,adam,0.007220830535516143
150,50,75,64,adam,0.004582279967144132
150,100,50,64,adam,0.008323641680181026
150,100,75,64,adam,0.009511817526072264
150,150,50,64,adam,0.006188274035230279
150,150,75,64,adam,0.006535051949322223
