lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.010669412463903427
100,50,75,32,adam,0.0038121962919831277
100,100,50,32,adam,0.007400638703256845
100,100,75,32,adam,0.0064809640869498255
100,150,50,32,adam,0.0058184037450701
100,150,75,32,adam,0.005034161172807217
150,50,50,32,adam,0.003869576705619693
150,50,75,32,adam,0.005463242810219526
150,100,50,32,adam,0.0070020264480263
150,100,75,32,adam,0.005501129385083914
150,150,50,32,adam,0.006420389097183943
150,150,75,32,adam,0.004161179531365633
100,50,50,64,adam,0.007814575359225273
100,50,75,64,adam,0.010242563020437957
100,100,50,64,adam,0.003903984697535634
100,100,75,64,adam,0.005385239562019706
100,150,50,64,adam,0.011153929401189089
100,150,75,64,adam,0.004706849809736013
150,50,50,64,adam,0.005520035861991346
150,50,75,64,adam,0.005878300708718598
150,100,50,64,adam,0.006498512253165245
150,100,75,64,adam,0.006513119768351316
150,150,50,64,adam,0.008541520219296217
150,150,75,64,adam,0.009291809424757958
