lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0016029523219913244
100,50,75,32,adam,0.00785768385976553
100,100,50,32,adam,0.008051178185269237
100,100,75,32,adam,0.0021733554545789956
100,150,50,32,adam,0.002566037070937455
100,150,75,32,adam,0.007974309986457229
150,50,50,32,adam,0.00532189286313951
150,50,75,32,adam,0.004972554091364145
150,100,50,32,adam,0.009489333699457347
150,100,75,32,adam,0.003792961034923792
150,150,50,32,adam,0.0030501017579808833
150,150,75,32,adam,0.003934943955391646
100,50,50,64,adam,0.01799502761568874
100,50,75,64,adam,0.011830406030640006
100,100,50,64,adam,0.010952020063996315
100,100,75,64,adam,0.016783535899594425
100,150,50,64,adam,0.00595466997474432
100,150,75,64,adam,0.002484511467628181
150,50,50,64,adam,0.0034663032740354536
150,50,75,64,adam,0.006647235993295908
150,100,50,64,adam,0.004816018603742122
150,100,75,64,adam,0.004374901531264186
150,150,50,64,adam,0.010615754849277436
150,150,75,64,adam,0.01063222917728126
