lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0069995509460568425
100,50,75,32,adam,0.002871925919316709
100,100,50,32,adam,0.004102869192138314
100,100,75,32,adam,0.0045577545650303366
100,150,50,32,adam,0.0036133698187768458
100,150,75,32,adam,0.002128341747447848
150,50,50,32,adam,0.003273963346146047
150,50,75,32,adam,0.0033878580667078494
150,100,50,32,adam,0.004949578689411283
150,100,75,32,adam,0.007211824227124452
150,150,50,32,adam,0.0028951361775398253
150,150,75,32,adam,0.0030508070718497037
100,50,50,64,adam,0.014465259807184338
100,50,75,64,adam,0.0070094405207782986
100,100,50,64,adam,0.007527590775862336
100,100,75,64,adam,0.00417834052350372
100,150,50,64,adam,0.006518260738812387
100,150,75,64,adam,0.006345437373965979
150,50,50,64,adam,0.006145029747858644
150,50,75,64,adam,0.013322932738810777
150,100,50,64,adam,0.004406465892679989
150,100,75,64,adam,0.009948575403541327
150,150,50,64,adam,0.008169379411265254
150,150,75,64,adam,0.006299646105617285
