lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.007383470190688968
100,50,75,32,adam,0.009808554919436574
100,100,50,32,adam,0.009235215652734042
100,100,75,32,adam,0.008974511828273534
100,150,50,32,adam,0.007416696287691593
100,150,75,32,adam,0.009103420982137322
150,50,50,32,adam,0.008142772037535906
150,50,75,32,adam,0.006685798801481724
150,100,50,32,adam,0.011182091990485787
150,100,75,32,adam,0.012066566292196513
150,150,50,32,adam,0.009248301666229964
150,150,75,32,adam,0.01065821023657918
100,50,50,64,adam,0.017404303699731827
100,50,75,64,adam,0.01681921062991023
100,100,50,64,adam,0.011733417864888906
100,100,75,64,adam,0.01479273959994316
100,150,50,64,adam,0.011730893142521381
100,150,75,64,adam,0.0056302329059690235
150,50,50,64,adam,0.012893151119351387
150,50,75,64,adam,0.006326685985550284
150,100,50,64,adam,0.015651029255241155
150,100,75,64,adam,0.016362733859568834
150,150,50,64,adam,0.010584930144250392
150,150,75,64,adam,0.012385988654568792
