lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006209112238138914
100,50,75,32,adam,0.01257631704211235
100,100,50,32,adam,0.005134495534002781
100,100,75,32,adam,0.007112041115760803
100,150,50,32,adam,0.007334467582404613
100,150,75,32,adam,0.00896824561059475
150,50,50,32,adam,0.008301264327019452
150,50,75,32,adam,0.006650457065552473
150,100,50,32,adam,0.006576996110379696
150,100,75,32,adam,0.005349458660930395
150,150,50,32,adam,0.006571386288851499
150,150,75,32,adam,0.006343685835599899
100,50,50,64,adam,0.011085403431206942
100,50,75,64,adam,0.012773618008941412
100,100,50,64,adam,0.005349968560039997
100,100,75,64,adam,0.01408692253753543
100,150,50,64,adam,0.010800221096724271
100,150,75,64,adam,0.006852225493639707
150,50,50,64,adam,0.009040852822363377
150,50,75,64,adam,0.009186796937137842
150,100,50,64,adam,0.007624315470457077
150,100,75,64,adam,0.01124030239880085
150,150,50,64,adam,0.008995924424380065
150,150,75,64,adam,0.007962016109377145
