lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004565524659119547
100,50,75,32,adam,0.0031101328553631903
100,100,50,32,adam,0.0024313116213306785
100,100,75,32,adam,0.002610854851081967
100,150,50,32,adam,0.0027265477925539016
100,150,75,32,adam,0.0025006441632285715
150,50,50,32,adam,0.007479476975277066
150,50,75,32,adam,0.002925341948866844
150,100,50,32,adam,0.002852873387746513
150,100,75,32,adam,0.004378436924889683
150,150,50,32,adam,0.003199046663939953
150,150,75,32,adam,0.0047488100826740265
100,50,50,64,adam,0.012797872116789222
100,50,75,64,adam,0.015438049286603927
100,100,50,64,adam,0.011133988574147224
100,100,75,64,adam,0.006122963037341833
100,150,50,64,adam,0.01476370096206665
100,150,75,64,adam,0.0031707035726867617
150,50,50,64,adam,0.010185213503427803
150,50,75,64,adam,0.0059286318719387054
150,100,50,64,adam,0.004588896676432341
150,100,75,64,adam,0.004933516355231404
150,150,50,64,adam,0.00635748952627182
150,150,75,64,adam,0.007207223260775208
