lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.008297629607841372
100,50,75,32,adam,0.007517145900055766
100,100,50,32,adam,0.0026279144454747438
100,100,75,32,adam,0.0030618329299613835
100,150,50,32,adam,0.0034412953071296217
100,150,75,32,adam,0.006787695782259106
150,50,50,32,adam,0.0036422757897526027
150,50,75,32,adam,0.004902187944389879
150,100,50,32,adam,0.0051810893462970855
150,100,75,32,adam,0.003683606907725334
150,150,50,32,adam,0.005238593369722366
150,150,75,32,adam,0.003869382152333856
100,50,50,64,adam,0.010509224468842148
100,50,75,64,adam,0.02125912867486477
100,100,50,64,adam,0.014458206482231617
100,100,75,64,adam,0.017644616100005804
100,150,50,64,adam,0.008752383571118117
100,150,75,64,adam,0.010133555857464671
150,50,50,64,adam,0.005016114329919219
150,50,75,64,adam,0.005120762484148144
150,100,50,64,adam,0.003944705124013126
150,100,75,64,adam,0.005158369825221598
150,150,50,64,adam,0.0064542619977146385
150,150,75,64,adam,0.00552146639674902
