lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.011521194037050009
100,50,75,32,adam,0.009853436285629869
100,100,50,32,adam,0.0085155394859612
100,100,75,32,adam,0.0072401347453705965
100,150,50,32,adam,0.00832505887374282
100,150,75,32,adam,0.005698505090549588
150,50,50,32,adam,0.003120077610947192
150,50,75,32,adam,0.008525829948484897
150,100,50,32,adam,0.011184024158865213
150,100,75,32,adam,0.0037959962617605926
150,150,50,32,adam,0.004700804129242897
150,150,75,32,adam,0.0038916312856599688
100,50,50,64,adam,0.010614747507497668
100,50,75,64,adam,0.011800271458923817
100,100,50,64,adam,0.0042895138845779005
100,100,75,64,adam,0.004302587872371077
100,150,50,64,adam,0.014016419369727372
100,150,75,64,adam,0.0070022804429754615
150,50,50,64,adam,0.00299365718383342
150,50,75,64,adam,0.009781164734158665
150,100,50,64,adam,0.007465690653771162
150,100,75,64,adam,0.009514228184707462
150,150,50,64,adam,0.004304104764014482
150,150,75,64,adam,0.0063350501004606485
