lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00498302849009633
100,50,75,32,adam,0.008154815505258739
100,100,50,32,adam,0.0029718926642090084
100,100,75,32,adam,0.006452196557074785
100,150,50,32,adam,0.003519250126555562
100,150,75,32,adam,0.0021092168637551366
150,50,50,32,adam,0.00786831567529589
150,50,75,32,adam,0.003934982279315591
150,100,50,32,adam,0.0020237632328644396
150,100,75,32,adam,0.00751889799721539
150,150,50,32,adam,0.003033310710452497
150,150,75,32,adam,0.0024498684564605356
100,50,50,64,adam,0.030734118074178696
100,50,75,64,adam,0.010270239738747477
100,100,50,64,adam,0.011828645411878825
100,100,75,64,adam,0.011054654151666909
100,150,50,64,adam,0.007801472721621394
100,150,75,64,adam,0.003564780147280544
150,50,50,64,adam,0.006145017687231302
150,50,75,64,adam,0.0040606454946100715
150,100,50,64,adam,0.006982628256082535
150,100,75,64,adam,0.005007555731572211
150,150,50,64,adam,0.006421401398256421
150,150,75,64,adam,0.0030239874962717296
