lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0022223558044061065
100,50,75,32,adam,0.0027963386848568915
100,100,50,32,adam,0.0023305393755435944
100,100,75,32,adam,0.003091967524960637
100,150,50,32,adam,0.0036815615836530923
100,150,75,32,adam,0.0026975114131346347
150,50,50,32,adam,0.0028947695158421994
150,50,75,32,adam,0.0029793116031214596
150,100,50,32,adam,0.0032254812773317098
150,100,75,32,adam,0.004577232035808265
150,150,50,32,adam,0.002301525813527405
150,150,75,32,adam,0.0018126863287761807
100,50,50,64,adam,0.003939624223858118
100,50,75,64,adam,0.006882790278177708
100,100,50,64,adam,0.00401702281087637
100,100,75,64,adam,0.0047685638535767795
100,150,50,64,adam,0.0029951162519864737
100,150,75,64,adam,0.0044807692989707
150,50,50,64,adam,0.005998932523652911
150,50,75,64,adam,0.004316102480515838
150,100,50,64,adam,0.0047833496704697605
150,100,75,64,adam,0.002028614981099963
150,150,50,64,adam,0.004525384842418134
150,150,75,64,adam,0.003288406180217862
