lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009465751238167286
100,50,75,32,adam,0.009351650532335044
100,100,50,32,adam,0.008735600858926773
100,100,75,32,adam,0.009807911980897189
100,150,50,32,adam,0.00962274456396699
100,150,75,32,adam,0.008833772130310535
150,50,50,32,adam,0.009437103103846312
150,50,75,32,adam,0.00864835986867547
150,100,50,32,adam,0.011761927790939809
150,100,75,32,adam,0.008676830399781465
150,150,50,32,adam,0.008320535533130169
150,150,75,32,adam,0.011452731769531965
100,50,50,64,adam,0.010621885862201452
100,50,75,64,adam,0.010466565936803817
100,100,50,64,adam,0.01147546200081706
100,100,75,64,adam,0.011287088599056005
100,150,50,64,adam,0.012681393418461084
100,150,75,64,adam,0.010826870426535606
150,50,50,64,adam,0.008798075281083584
150,50,75,64,adam,0.012740692310035228
150,100,50,64,adam,0.009443551860749721
150,100,75,64,adam,0.00994184734299779
150,150,50,64,adam,0.010772217251360416
150,150,75,64,adam,0.011256284546107054
