lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009029756812378765
100,50,75,32,adam,0.008532462571747602
100,100,50,32,adam,0.009713002038188279
100,100,75,32,adam,0.009262025472708046
100,150,50,32,adam,0.00868725567124784
100,150,75,32,adam,0.009733288828283549
150,50,50,32,adam,0.008955212729051708
150,50,75,32,adam,0.011665149917826056
150,100,50,32,adam,0.009376273164525628
150,100,75,32,adam,0.00871888508554548
150,150,50,32,adam,0.009805788332596422
150,150,75,32,adam,0.009155826037749648
100,50,50,64,adam,0.009439738467335701
100,50,75,64,adam,0.01106765102595091
100,100,50,64,adam,0.012600225675851107
100,100,75,64,adam,0.009039170434698462
100,150,50,64,adam,0.010769129847176373
100,150,75,64,adam,0.010396061465144157
150,50,50,64,adam,0.012688891682773828
150,50,75,64,adam,0.011039714748039841
150,100,50,64,adam,0.010465503856539726
150,100,75,64,adam,0.010884465696290136
150,150,50,64,adam,0.008846799586899578
150,150,75,64,adam,0.011238889396190643
