lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005028195912018418
100,50,75,32,adam,0.004199197748675942
100,100,50,32,adam,0.004412575019523501
100,100,75,32,adam,0.0032838997663930058
100,150,50,32,adam,0.005652486253529787
100,150,75,32,adam,0.0045794322155416015
150,50,50,32,adam,0.0036670696455985306
150,50,75,32,adam,0.004714098758995533
150,100,50,32,adam,0.006009554071351886
150,100,75,32,adam,0.0032862270949408413
150,150,50,32,adam,0.003886194946244359
150,150,75,32,adam,0.00386818228289485
100,50,50,64,adam,0.005864595109596848
100,50,75,64,adam,0.006569447182118893
100,100,50,64,adam,0.0037367528304457663
100,100,75,64,adam,0.006686105206608772
100,150,50,64,adam,0.00557757900096476
100,150,75,64,adam,0.0042880700901150705
150,50,50,64,adam,0.00490292590111494
150,50,75,64,adam,0.004075383464805782
150,100,50,64,adam,0.006541470624506473
150,100,75,64,adam,0.006076788692735135
150,150,50,64,adam,0.0054752239491790535
150,150,75,64,adam,0.003302030684426427
