lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.011773915588855743
100,50,75,32,adam,0.013952223025262356
100,100,50,32,adam,0.011422409862279891
100,100,75,32,adam,0.013060967065393924
100,150,50,32,adam,0.012443778477609158
100,150,75,32,adam,0.011719344090670348
150,50,50,32,adam,0.011886438354849815
150,50,75,32,adam,0.013300509937107564
150,100,50,32,adam,0.01449207067489624
150,100,75,32,adam,0.01284749312326312
150,150,50,32,adam,0.012584802787750959
150,150,75,32,adam,0.012327289953827859
100,50,50,64,adam,0.012111495807766914
100,50,75,64,adam,0.015146593749523162
100,100,50,64,adam,0.011979834269732237
100,100,75,64,adam,0.014228194765746594
100,150,50,64,adam,0.01296032229438424
100,150,75,64,adam,0.013172325119376183
150,50,50,64,adam,0.013064739480614661
150,50,75,64,adam,0.014016152638942004
150,100,50,64,adam,0.013194666802883148
150,100,75,64,adam,0.013578947260975837
150,150,50,64,adam,0.014072764944285155
150,150,75,64,adam,0.01202605441212654
