lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003713096654973924
100,50,75,32,adam,0.00392356205265969
100,100,50,32,adam,0.003466196800582111
100,100,75,32,adam,0.0036082272883504627
100,150,50,32,adam,0.0039898085873574015
100,150,75,32,adam,0.003562518721446395
150,50,50,32,adam,0.0030558724422007797
150,50,75,32,adam,0.0032722682459279894
150,100,50,32,adam,0.003408556105569005
150,100,75,32,adam,0.002981455298140645
150,150,50,32,adam,0.0036189469043165444
150,150,75,32,adam,0.0035383446607738732
100,50,50,64,adam,0.007152284635230899
100,50,75,64,adam,0.005720577109605074
100,100,50,64,adam,0.006325207045301795
100,100,75,64,adam,0.005067062983289361
100,150,50,64,adam,0.004889829410240054
100,150,75,64,adam,0.00565434880554676
150,50,50,64,adam,0.005305714253336191
150,50,75,64,adam,0.004425605200231076
150,100,50,64,adam,0.004342279676347971
150,100,75,64,adam,0.0035375300329178573
150,150,50,64,adam,0.0038325687404721976
150,150,75,64,adam,0.00553609870839864
