lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.002600941760465503
100,50,75,32,adam,0.0037942335475236177
100,100,50,32,adam,0.0035553019493818282
100,100,75,32,adam,0.0022769317263737323
100,150,50,32,adam,0.0022937149507924913
100,150,75,32,adam,0.0026973001193255188
150,50,50,32,adam,0.0032668843399733306
150,50,75,32,adam,0.0031831488013267517
150,100,50,32,adam,0.003616440715268254
150,100,75,32,adam,0.0021442663157358764
150,150,50,32,adam,0.0032501462148502467
150,150,75,32,adam,0.0028896220494061707
100,50,50,64,adam,0.003824614081531763
100,50,75,64,adam,0.004386464180424809
100,100,50,64,adam,0.004638354224152863
100,100,75,64,adam,0.0032727419631555675
100,150,50,64,adam,0.0038544107228517532
100,150,75,64,adam,0.003174525289796293
150,50,50,64,adam,0.0048673601355403665
150,50,75,64,adam,0.0030956081114709376
150,100,50,64,adam,0.0026748657575808464
150,100,75,64,adam,0.00376385988201946
150,150,50,64,adam,0.002674029837362468
150,150,75,64,adam,0.004008958814665675
