lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003242401615716517
100,50,75,32,adam,0.0033108345698565243
100,100,50,32,adam,0.0024656199850142
100,100,75,32,adam,0.002870746050029993
100,150,50,32,adam,0.0038752121618017554
100,150,75,32,adam,0.004956431058235467
150,50,50,32,adam,0.0029147724155336617
150,50,75,32,adam,0.0035858931951224804
150,100,50,32,adam,0.0036647747969254852
150,100,75,32,adam,0.003124767495319247
150,150,50,32,adam,0.0028070189524441957
150,150,75,32,adam,0.003112712036818266
100,50,50,64,adam,0.004012622311711312
100,50,75,64,adam,0.004036768898367881
100,100,50,64,adam,0.00438426963519305
100,100,75,64,adam,0.0036386073101311923
100,150,50,64,adam,0.004276899341493845
100,150,75,64,adam,0.0075013503897935156
150,50,50,64,adam,0.0064717179629951715
150,50,75,64,adam,0.0033467136090621352
150,100,50,64,adam,0.005811296682804823
150,100,75,64,adam,0.003753532562404871
150,150,50,64,adam,0.004107979591935873
150,150,75,64,adam,0.004351380374282598
