lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.008178169094026088
100,50,75,32,adam,0.005387127539142967
100,100,50,32,adam,0.005073315417394042
100,100,75,32,adam,0.005996842868626118
100,150,50,32,adam,0.0046652756631374356
100,150,75,32,adam,0.005058300262317061
150,50,50,32,adam,0.005851694755256176
150,50,75,32,adam,0.005942391697317362
150,100,50,32,adam,0.005413311487063766
150,100,75,32,adam,0.005153475888073444
150,150,50,32,adam,0.004603290790691971
150,150,75,32,adam,0.005288970144465566
100,50,50,64,adam,0.007195706153288484
100,50,75,64,adam,0.00650867884978652
100,100,50,64,adam,0.007950158417224884
100,100,75,64,adam,0.0055005975067615506
100,150,50,64,adam,0.009002812579274178
100,150,75,64,adam,0.005712006194517017
150,50,50,64,adam,0.0062441139481961725
150,50,75,64,adam,0.012109398189932109
150,100,50,64,adam,0.005513052362948656
150,100,75,64,adam,0.006769033474847674
150,150,50,64,adam,0.005776224378496409
150,150,75,64,adam,0.005512854782864451
