lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0023107360233552755
100,50,75,32,adam,0.0016640041721984744
100,100,50,32,adam,0.003781653242185712
100,100,75,32,adam,0.0013964890502393245
100,150,50,32,adam,0.0016402775421738625
100,150,75,32,adam,0.001904493710026145
150,50,50,32,adam,0.0015999941271729768
150,50,75,32,adam,0.002202028431929648
150,100,50,32,adam,0.0013029934605583548
150,100,75,32,adam,0.0018792937276884913
150,150,50,32,adam,0.0014609645353630186
150,150,75,32,adam,0.0019437253940850496
100,50,50,64,adam,0.0023553181206807496
100,50,75,64,adam,0.0028037829557433724
100,100,50,64,adam,0.0031742009799927474
100,100,75,64,adam,0.0022368108853697776
100,150,50,64,adam,0.0023878012667410075
100,150,75,64,adam,0.002496467309538275
150,50,50,64,adam,0.005469250120222568
150,50,75,64,adam,0.002182870334945619
150,100,50,64,adam,0.0018213560921140014
150,100,75,64,adam,0.001570891065057367
150,150,50,64,adam,0.002235523099079728
150,150,75,64,adam,0.0016689589829184115
