lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004514580359682441
100,50,75,32,adam,0.004009327199310064
100,100,50,32,adam,0.004401451931335032
100,100,75,32,adam,0.004016345762647688
100,150,50,32,adam,0.0050261654425412415
100,150,75,32,adam,0.004601430101320148
150,50,50,32,adam,0.003997102472931146
150,50,75,32,adam,0.004116376489400863
150,100,50,32,adam,0.004522352525964379
150,100,75,32,adam,0.00367110394872725
150,150,50,32,adam,0.005081785004585981
150,150,75,32,adam,0.003650821256451309
100,50,50,64,adam,0.005523773096501827
100,50,75,64,adam,0.006146592926234007
100,100,50,64,adam,0.005601458018645644
100,100,75,64,adam,0.004521500132977962
100,150,50,64,adam,0.005668719951063395
100,150,75,64,adam,0.005321217514574528
150,50,50,64,adam,0.0042732053902000185
150,50,75,64,adam,0.004441604623571039
150,100,50,64,adam,0.0037490980699658393
150,100,75,64,adam,0.005385300517082215
150,150,50,64,adam,0.00420685219578445
150,150,75,64,adam,0.007525025587528944
